short,original
アイコ,アイスコーヒー
アイシン（AISIN）,アイシン精機及び主要グループ各社
赤プリ,グランドプリンスホテル赤坂（旧
アキバ,東京都千代田区にある秋葉原（東京の電気街/サブカルチャー街）（地名としての秋葉原は台東区にある。）
アクエリ,アクエリアス、アクエリアンエイジ、創聖のアクエリオン
アク禁,アクセス禁止
アジカン,ASIAN KUNG-FU GENERATION
アテレコ,声をアテるレコーディング
アニサマ,Animelo Summer Live
アニソン,アニメソング
アニメ,アニメーション
アフレコ,アフター・レコーディング
アポ,アポイントメント
アメスク,アメリカンスクール
アメフト,アメリカンフットボール
アリキリ,アリtoキリギリス
アリプロ,ALI PROJECT
アルハラ,アルコールハラスメント
アングラ,アンダーグラウンド
アンプ,アンプリファイア
イラレ,Adobe Illustrator
イラロジ,イラストロジック
インター,インターチェンジ、インターナショナル、インターハイ
インカレ,インターカレッジ
イントラ,インストラクター
インフラ,インフラストラクチャー
インフレ,インフレーション
ウィキ,ウィキペディア
ウテナ,少女革命ウテナ
ウンナン,ウッチャンナンチャン
エアコン,エア・コンディショナー
エアマネ,エアーマネジメント
エアロ,エアロビクス、エアロパーツ
エアロビ,エアロビクス
エーアイ,アイシン・エーアイ及びアイシン・エーアイ工業
エコ,エコロジー
エナジス,エナジーサポート
エヴァ,新世紀エヴァンゲリオン
Mステ,ミュージックステーション
L4,レディス4
エレガ,エレベーターガール
エロゲー,エロいゲーム
エロビ,エロビデオ
エンタ,エンタの神様
エンタメ,日経エンタメ及びエンタテインメント情報誌
オート,オートマチック、オートモービル
オートマ,オートマチックトランスミッション
オフコン,オフィスコンピュータ
オフレコ,オフ・ザ・レコード
オリカ,オリジナルカード
オリキャラ,オリジナルキャラクター
オリコ,オリエントコーポレーション
オリラジ,オリエンタルラジオ
オレカ,オレンジカード
オロC,オロナミンCドリンク
カーナビ,カーナビゲーション
ガガガ,ガガガSP、勇者王ガオガイガー
カシオレ,カシス・オレンジ
カックロ,加算クロス
ガッシュ,金色のガッシュ!!
カメコ,カメラ小僧
カレカノ,彼氏彼女の事情
ガレキ,ガレージキット
カンスト,カウントストップ及びカウンターストップ
カンパ,カンパニア
カンペ,カンニングペーパー、関西ペイント
関ジャニ,関ジャニ∞
ガンプラ,ガンダムのプラモデル
キタエリ,喜多村英梨
ぎふチャン,岐阜放送
キムタク,木村拓哉
キャバクラ,キャンパスクラブ、キャバレー・クラブ等諸説有り。
キャバ嬢,キャバクラ嬢。キャバクラで客を接待する女性。
キャプ翼,キャプテン翼
キャラソン,キャラクターソング
ギャルゲー,ギャルゲーム
ギャルサー,ギャルのサークル
キャンギャル,キャンペーンガール
キューブ,ゲームキューブ
キンキ,KinKi Kids
キン消し,キン肉マン消しゴム
キンコン,キングコング
銀ブラ,「銀座をブラつくこと。」が現在における意義だが、元々は「銀座で飲むブラックコーヒー」が本義。
クーデレ,クールでデレデレ
クソゲー,クソゲーム
グッスマ,グッドスマイルカンパニー
クリカン,栗田貫一
クリキン,クリスタルキング
クレカ,クレジットカード
クレしん,クレヨンしんちゃん
ゲーセン,ゲームセンター
ケータイ,携帯電話
軽トラ,軽トラック
ゲネプロ,ゲネラールプローベ（本番直前に通しでおこなうリハーサル）
ケンコバ,ケンドーコバヤシ
ケンタ,ケンタッキーフライドチキン
合コン,合同コンパ
ココイチ,カレーハウス CoCo壱番屋
コスプレ,コスチューム・プレイ
ゴスロリ,ゴシック・アンド・ロリータ
コテハン,匿名が主な場であえて使うハンドルネーム（固定ハンドルネーム）
コナン,名探偵コナン、江戸川コナン、未来少年コナン
コドチャ,こどものおもちゃ
コパル,日本電産コパル、日本電産コパル電子
コピペ,コピー・アンド・ペースト
コネ , コネクション
ゴマキ,後藤真希
コミケ,コミックマーケット
コラボ,コラボレーション（collaboration
コンサバ,コンサバティブ
コンパ,コンパニー
コンビニ,コンビニエンスストア
コンポ,コンポーネント
サガフロ,サガ・フロンティア
サザン,サザンオールスターズ
サターン,セガサターン
サッチー,野村沙知代
サバゲ、サバゲー,サバイバルゲーム
サブカ,サブカード（二枚目の予備用カード）
サブコン,サブコンストラクター・サブコンピュータ
サラ金,サラリーマン金融
サンクリ,サンシャインクリエイション
サンテレビ,サンテレビジョン（SUN-TV）
サントラ,サウンドトラック
シアーズ,シアーズ・ローバック社（現在のシアーズ・ホールディングス社）
シスコン,シスターコンプレックス、システムコンポ
シスプリ,シスター・プリンセス
シネコン,シネマコンプレックス
シャーペン,シャープペンシル
シャカラビ,SHAKALABBITS
シャナ,灼眼のシャナ
ショート,ショートストップ、ショートサーキット
ショタコン,正太郎コンプレックス
シンセ,シンセサイザー
スーパー,スーパーマーケット、スーパーインポーズ、スーパーヘテロダイン
スーファミ,スーパーファミコン
スーマリ,スーパーマリオブラザーズ
スカトロ,スカトロジー
スクイズ,School Days
スクエニ,スクウェア・エニックス
スク水,スクール水着
スクラン,スクールランブル
スケダン,SKET DANCE
スケブ,スケッチブック
スケボー,スケートボード
スタコン,電力用コンデンサ
スタチャ,スターチャイルド
スタバ,スターバックス
スタパ,スタジオパーク
スッチー,スチュワーデス
スト,ストライキ、ストローク
ストゼロ,ストリートファイターZERO
スト2,ストリートファイターII
ストパニ,Strawberry Panic!
スノボ,スノーボード
スパクラ,スーパークラッド
スパコン,スーパーコンピュータ
スパロボ,スーパーロボット大戦
スポクラ,スポーツクラブ
スマスマ,SMAP×SMAP
スマブラX,大乱闘スマッシュブラザーズX
スマデラ,大乱闘スマッシュブラザーズDX
スマブラ,ニンテンドウオールスター!大乱闘スマッシュブラザーズ
スラダン,スラムダンク
セカチュー,世界の中心で、愛をさけぶ
セクハラ,セクシャルハラスメント
ゼネコン,ゼネラルコントラクター
ゼネスト,ゼネラルストライキ
セフレ,セックスフレンド
セラフィム、セラコル,セラフィム・コール
セラミュ、セラミュー,美少女戦士セーラームーン (ミュージカル)
セラムン,美少女戦士セーラームーン
セ・リーグ, セントラル・リーグ
ゼロ使（ゼロ魔）,ゼロの使い魔
ソニエリ,ソニー・エリクソン・モバイルコミュニケーションズ
ソフビ,ソフトビニール
ソ連,ソビエト社会主義共和国連邦
ダイキン,ダイキン工業
ダイハツ,ダイハツ工業、ダイハツディーゼル
タカトシ,タカアンドトシ
タキツバ,タッキー&翼
タワドリ,タワードリーム
タワレコ,タワーレコード
地デジ,地上デジタルテレビジョン放送
チバテレ（チバテレビ）,千葉テレビ放送
着メロ,着信メロディ
チャチャ,赤ずきんチャチャ
チューハイ,焼酎ハイボール
ツアコン,ツアーコンダクター
ツナ,沢田綱吉
ツンデレ,ツンツンデレデレ
ティッシュ,ティッシュペーパー
デコトラ,デコレーショントラック
デジカメ,デジタルカメラ
デスノ,DEATH NOTE（デスノート）
テニィ（TeNY）,テレビ新潟
テニプリ,テニスの王子様
テニミュ,テニスの王子様ミュージカル
デパート,デパートメントストア
デパガ,デパートガール
デパ地下（デパチカ）,デパートの地下食品売り場
デフレ,デフレーション
テレ愛,テレビ愛知
テレ朝（テレアサ）,テレビ朝日
テレカ,テレホンカード
テレ金（てれきん）,テレビ金沢
テレしず（テレ静）,テレビ静岡
テレ信,テレビ信州
テレ玉,テレビ埼玉
テレ東,テレビ東京
テレ西,テレビ西日本
テレビ,テレビジョン
テレわか、テレ和（てれわ）,テレビ和歌山
ドキプリ,ドキドキプリティリーグ
トイペ,トイレットペーパー
ときメモ,ときめきメモリアル
ドタキャン,土壇場キャンセル
ドボコン,ドヴォルザークのチェロ・コンチェルト
ドラクエ,ドラゴンクエスト
ドリカム,ドリームズ・カム・トゥルー
ドリキャス,ドリームキャスト
ドリパ,DreamParty
ドルパ,ドールズパーティー
トレカ,トレーディングカード
トレセン,トレーニングセンター
トレペ,トレーシングペーパー
トレパン,トレーニングパンツ
ドンキ,ドンキホーテ
ナイナイ,ナインティナイン
ナカミー,中野美奈子
ナゲット,チキンナゲット
ナチ、ナチス,国家社会主義ドイツ労働者党
ナデシコ,機動戦艦ナデシコ
ナニ金,ナニワ金融道
ナベシン,ワタナベシンイチ
ナベツネ,渡邉恒雄
ナルシ,ナルシスト
ナンクロ,ナンバークロスワードパズル
ナンプレ,ナンバープレース
ニコニコ、ニコ動,ニコニコ動画
ニコ生,ニコニコ生放送
日テレ,日本テレビ
日ペン,日本ペン習字研究会
ニンドリ,ニンテンドードリーム
ネオコン,ネオコンサバティブ
ネカフェ,インターネットカフェ
ネギま,魔法先生ネギま!、ネギま!?
ネッツ,ネッツトヨタ店（旧トヨタオート店）、NECネッツアンドエスアイ
ネット,インターネット
ネトゲ,ネットゲーム（オンラインゲーム）
ネトラジ,インターネットラジオ
バイオ,バイオハザード (ゲーム)
ハイカ,ハイウェイカード
パイカリ,パイレーツ・オブ・カリビアン/呪われた海賊たち
バイト,アルバイト
ハイデフ,ハイディフィニション
ハガレン,鋼の錬金術師
パソゲー,パソコンゲーム
ハチクロ,ハチミツとクローバー
ハチゴー,トヨタ・スプリンタートレノ、トヨタ・カローラレビン（AE85型）
ハチロク→曖昧さ回避。ハチロク(自動車),AE86型のトヨタ・カローラレビン/トヨタ・スプリンタートレノ
ハチロク(自動車),AE86型のトヨタ・カローラレビン/トヨタ・スプリンタートレノ
バッシュ,バスケットシューズ
パソコン,パーソナルコンピュータ
パナ,パナソニック(旧
はねトび,はねるのトびら
パネポン,パネルでポン
ハマコー,浜田幸一
ハヤテ（ハヤごと）,ハヤテのごとく!
パリーグ,パシフィック・リーグ
ハリポタ,ハリー・ポッター
ハルヒ,涼宮ハルヒの憂鬱
ハレハレ,ハレ晴レユカイ
ハロプロ,ハロー!プロジェクト
ハロモニ,ハロー!モーニング。、ハロモニ@
パワステ,パワーステアリング、日清パワーステーション
パワハラ,パワーハラスメント
ハンスト,ハンガー・ストライキ
パンスト,パンティーストッキング
ハンド,ハンドボールの略。サッカーにおける反則行為、ハンドリングの略。
バンプ,BUMP OF CHICKEN
バンブラ,大合奏バンドブラザーズ
バンプレ,バンプレスト及び子会社・バンプレソフト
バンブレ,BAMBOO BLADE
ピクロス,ピクチャークロスワード
ピッチ,PHS（ピーエイチエス、Personal Handy-phone System）
ビフテキ,ビーフステーキ
ひらパー,ひらかたパーク
FF（エフエフ）,ファイナルファンタジー
ファザコン,ファザーコンプレックス
ファフナー,蒼穹のファフナー
ファミコン,ファミリーコンピュータ、(クラシックの) ファミリーコンサート
ファミマ,ファミリーマート
ファミレス,ファミリーレストラン
ファッキン,ファーストキッチン＊注意
フォトショ,Adobe Photoshop
ブクマ,ブックマーク
冬ソナ,冬のソナタ
ブラーン,ブラック・ラグーン
ブラクラ,ブラウザクラッシャー、ブラック・ラグーン
ブラコン,ブラザーコンプレックス、ブラック・コンテンポラリー、ブラームスのヴァイオリン・コンチェルト
ブラスタ,BLACK☆STAR
ブラビ,ブラックビスケッツ
プラモ、プラモデル,プラスチックモデル
ブララグ,ブラック・ラグーン
ブリアク,ブリザードアクセル
プリクラ,プリント倶楽部（セガの商品名だが、代用語がないため一般名詞のように使われている）
ブリグリ,The brilliant green
プリゴ,プリントゴッコ
ブルセラ,ブルマやセーラー等を含めた、女性が着用した後の衣類
ブリセル,ブリザードアクセル
フリマ,フリーマーケット（蚤の市）
フルバ,フルーツバスケット
フリペ,フリーペーパー
フルボッコ,フルパワーでボッコボコ
フルメタ,フルメタル・パニック!
プレステ,プレイステーション
プレ2、プレステ2,プレイステーション2
プレステ3,プレイステーション3
ヘビメタ,ヘヴィメタル
ベルバラ,ベルサイユのバラ
ペロキャン,ペロペロキャンディ
ポカリ,ポカリスエット
ポケステ,ポケットステーション
ポケバイ,ポケットバイク
ポケビ,ポケットビスケッツ
ポケベル,ポケットベル（無線呼び出し）
ポケモン,ポケットモンスター
ポスペ,PostPet（ポストペット）
ボディコン,ボディコンシャス
ホテイチ,ホテルの1階にある商店
ポテチ,ポテトチップス
ポテト,フライドポテト
ホット,ホットコーヒー
ホマキ,星野真希
ホマキ,堀北真希
ホムペ,ホームページ
マイク,マイクロフォン
マイコン,マイクロコンピュータ
マクド,マクドナルド
マザコン,マザーコンプレックス
マッキー：槇原敬之、槙原寛己、西山茉希、牧原俊幸。増沢由貴子の騎手デビュー当時の名前(旧姓,牧原)
マック,マクドナルド、Macintosh（マッキントッシュ）
マツキヨ,マツモトキヨシ、松本清（左記会社の創業者、元松戸市長）
マツケン（松ケン）,松平健、松山ケンイチ
マツジュン,松本潤
マッチ,近藤真彦
ママ4,ママは小学4年生
ママチャリ,ママ用チャリンコ（自転車）
マリカ,マリオカート
マリコン,マリンコンストラクター
マリみて,マリア様がみてる
マルハニチロ,マルハニチロホールディングス、マルハニチロ食品、マルハニチロ水産
マンキン,シャーマンキング
マンC,マンチェスター・シティFC
マンU,マンチェスター・ユナイテッドFC
ミーハー,みいちゃん・はあちゃん
ミスコン,ミス・コンテスト
ミスド,ミスタードーナツ
ミスチル,Mr.Children
ミスフル,Mr.FULLSWING
ミニクラ,ミニクラッド
ミニコン,ミニコンピュータ、ミニコンポ
ミュージックソン,ラジオ・チャリティー・ミュージックソン
メアドまたはメルアド,メールアドレス
メ～テレ,名古屋テレビ
メガドラ,メガドライブ
メタスラ,メタルスラッグ（ドラゴンクエストの）メタルスライム
メタギア, メタルギア、メタルギアソリッド
めちゃイケ,めちゃ2イケてるッ!
メモカ,メモリーカード
メモステ,メモリースティック
メルブラ,MELTY BLOOD
メルマガ,メールマガジン
メンコン,メンデルスゾーンのヴァイオリン・コンチェルト
モー娘。,モーニング娘。
モス,モスバーガー
モンコレ,モンスターコレクション
モンハン,モンスターハンター
ヤフオク,Yahoo! オークション
ヤマト,宇宙戦艦ヤマト、
ヤミ金,闇金融
ヤンデレ,病んでるデレデレ
ユニバー,神戸総合運動公園ユニバー記念競技場（旧称
ユニバー、USJ,ユニバーサルスタジオジャパン
ラジコン,ラジオコントロール
ラジカセ,ラジオカセットレコーダー
ラノベ,ライトノベル
ラルク,L'Arc〜en〜Ciel
リスカ,リストカット
リーマン,サラリーマン
リヴリー,リヴリーアイランド
リモコン,リモート・コントローラー(遠隔操作機器)、 リモート・コントロール(遠隔操作)
レアル,レアル・マドリード、レアル・ソシエダ
レスカ,レモンスカッシュ
レミオ,レミオロメン
連ザ,機動戦士ガンダムSEED DESTINY 連合vs.Z.A.F.T.Ⅱ
ロイホ,ロイヤルホスト
ロクヨン,NINTENDO64
ロザバン,ロザリオとバンパイア
ロットレ,ロッカ・トレンチ
ロベカル,ロベルト・カルロス
ロボコン,がんばれ!!ロボコン、ロボットコンテスト
ロマサガ,ロマンシング サ・ガ
ロリコン,ロリータ・コンプレックス
ロンハー,ロンドンハーツ
ロンバケ,ロングバケーション
ロンブー,ロンドンブーツ1号2号
ワープロ,ワードプロセッサ
ワラキン,笑いの金メダル
ワンセグ,携帯電話・移動体端末向けの1セグメント部分受信サービス
ワンナイ,ワンナイR&R
ワーネバ,ワールド・ネバーランド
ワンピ,ONE PIECE(ワンピース)
ワンフェス,ワンダーフェスティバル
