short,original
アイコ,アイスコーヒー
アイシン,アイシン精機
赤プリ,グランドプリンスホテル赤坂
アキバ,秋葉原
アクエリ,アクエリアス
アク禁,アクセス禁止
アジカン,アジアンカンフージェネレーション
アテレコ,声をアテるレコーディング
アニサマ,アニメロサマーライブ
アニソン,アニメソング
アニメ,アニメーション
アフレコ,アフターレコーディング
アポ,アポイントメント
アメスク,アメリカンスクール
アメフト,アメリカンフットボール
アリキリ,アリとキリギリス
アリプロ,アリプロジェクト
アルハラ,アルコールハラスメント
アングラ,アンダーグラウンド
アンプ,アンプリファイア
イラレ,アドビイラストレーター
イラロジ,イラストロジック
インター,インターチェンジ
インカレ,インターカレッジ
イントラ,インストラクター
インフラ,インフラストラクチャー
インフレ,インフレーション
ウィキ,ウィキペディア
ウテナ,少女革命ウテナ
ウンナン,ウッチャンナンチャン
エアコン,エアコンディショナー
エアマネ,エアーマネジメント
エアロ,エアロビクス
エアロビ,エアロビクス
エコ,エコロジー
エナジス,エナジーサポート
エヴァ,新世紀エヴァンゲリオン
エムステ,ミュージックステーション
エレガ,エレベーターガール
エロゲー,エロゲーム
エロビ,エロビデオ
エンタ,エンタの神様
エンタメ,エンタテインメント
オートマ,オートマチックトランスミッション
オフコン,オフィスコンピュータ
オフレコ,オフザレコード
オリカ,オリジナルカード
オリキャラ,オリジナルキャラクター
オリコ,オリエントコーポレーション
オリラジ,オリエンタルラジオ
オレカ,オレンジカード
オロシー,オロナミンシードリンク
カーナビ,カーナビゲーション
カシオレ,カシスオレンジ
カックロ,加算クロス
ガッシュ,金色のガッシュ
カメコ,カメラ小僧
カレカノ,彼氏彼女
ガレキ,ガレージキット
カンスト,カウントストップ
カンパ,カンパニア
カンペ,カンニングペーパー
ガンプラ,ガンダムプラモデル
キタエリ,喜多村英梨
ぎふチャン,岐阜放送
キムタク,木村拓哉
キャバクラ,キャバレークラブ
キャバ嬢,キャバクラ嬢
キャプ翼,キャプテン翼
キャラソン,キャラクターソング
ギャルゲー,ギャルゲーム
ギャルサー,ギャルサークル
キャンギャル,キャンペーンガール
キューブ,ゲームキューブ
キンキ,キンキキッズ
キン消し,キン肉マン消しゴム
キンコン,キングコング
クーデレ,クールデレデレ
クソゲー,クソゲーム
グッスマ,グッドスマイルカンパニー
クリカン,栗田貫一
クリキン,クリスタルキング
クレカ,クレジットカード
クレしん,クレヨンしんちゃん
ゲーセン,ゲームセンター
ケータイ,携帯電話
軽トラ,軽トラック
ゲネプロ,ゲネラールプローベ
ケンコバ,ケンドーコバヤシ
ケンタ,ケンタッキーフライドチキン
合コン,合同コンパ
ココイチ,ココ壱番屋
コスプレ,コスチュームプレイ
ゴスロリ,ゴシックアンドロリータ
コテハン,固定ハンドルネーム
コナン,名探偵コナン
コドチャ,こどもおもちゃ
コパル,日本電産コパル
コピペ,コピーアンドペースト
コネ,コネクション
ゴマキ,後藤真希
コミケ,コミックマーケット
コラボ,コラボレーション
コンサバ,コンサバティブ
コンパ,コンパニー
コンビニ,コンビニエンスストア
コンポ,コンポーネント
サガフロ,サガフロンティア
サザン,サザンオールスターズ
サターン,セガサターン
サッチー,野村沙知代
サバゲー,サバイバルゲーム
サブカ,サブカード
サブコン,サブコンピュータ
サラ金,サラリーマン金融
サンクリ,サンシャインクリエイション
サンテレビ,サンテレビジョン
サントラ,サウンドトラック
シアーズ,シアーズローバック社
シスコン,シスターコンプレックス
シスプリ,シスタープリンセス
シネコン,シネマコンプレックス
シャーペン,シャープペンシル
シャカラビ,シャカラビッツ
シャナ,灼眼のシャナ
ショタコン,正太郎コンプレックス
シンセ,シンセサイザー
スーパー,スーパーマーケット
スーファミ,スーパーファミコン
スーマリ,スーパーマリオブラザーズ
スカトロ,スカトロジー
スクイズ,スクールデイズ
スクエニ,スクウェアエニックス
スク水,スクール水着
スクラン,スクールランブル
スケダン,スケットダンス
スケブ,スケッチブック
スケボー,スケートボード
スタコン,電力用コンデンサ
スタチャ,スターチャイルド
スタバ,スターバックス
スタパ,スタジオパーク
スッチー,スチュワーデス
スト,ストライキ
ストゼロ,ストリートファイターゼロ
ストツー,ストリートファイターツー
ストパニ,ストロベリーパニック
スノボ,スノーボード
スパクラ,スーパークラッド
スパコン,スーパーコンピュータ
スパロボ,スーパーロボット大戦
スポクラ,スポーツクラブ
スマスマ,スマップスマップ
スマブラエックス,大乱闘スマッシュブラザーズエックス
スマデラ,大乱闘スマッシュブラザーズデラックス
スマブラ,大乱闘スマッシュブラザーズ
スラダン,スラムダンク
セカチュー,世界の中心で愛をさけぶ
セクハラ,セクシャルハラスメント
ゼネコン,ゼネラルコントラクター
ゼネスト,ゼネラルストライキ
セフレ,セックスフレンド
セラフィム,セラフィムコール
セラミュ,美少女戦士セーラームーンミュージカル
セラムン,美少女戦士セーラームーン
セリーグ,セントラルリーグ
ゼロつか,ゼロの使い魔
ソニエリ,ソニーエリクソンモバイルコミュニケーションズ
ソフビ,ソフトビニール
ソ連,ソビエト社会主義共和国連邦
ダイキン,ダイキン工業
ダイハツ,ダイハツ工業
タカトシ,タカアンドトシ
タキツバ,タッキーアンド翼
タワドリ,タワードリーム
タワレコ,タワーレコード
地デジ,地上デジタルテレビジョン放送
チバテレ,千葉テレビ放送
着メロ,着信メロディ
チャチャ,赤ずきんチャチャ
チューハイ,焼酎ハイボール
ツアコン,ツアーコンダクター
ツナ,沢田綱吉
ツンデレ,ツンツンデレデレ
ティッシュ,ティッシュペーパー
デコトラ,デコレーショントラック
デジカメ,デジタルカメラ
デスノ,デスノート
テニィ,テレビ新潟
テニプリ,テニスの王子様
テニミュ,テニスの王子様ミュージカル
デパート,デパートメントストア
デパガ,デパートガール
デパ地下,デパート地下食品売り場
デフレ,デフレーション
テレ愛,テレビ愛知
テレアサ,テレビ朝日
テレカ,テレホンカード
てれきん,テレビ金沢
テレしず,テレビ静岡
テレしん,テレビ信州
テレたま,テレビ埼玉
テレとう,テレビ東京
テレにし,テレビ西日本
テレビ,テレビジョン
テレわか,テレビ和歌山
ドキプリ,ドキドキプリティリーグ
トイペ,トイレットペーパー
ときメモ,ときめきメモリアル
ドタキャン,土壇場キャンセル
ドボコン,ドヴォルザークチェロコンチェルト
ドラクエ,ドラゴンクエスト
ドリカム,ドリームズカムトゥルー
ドリキャス,ドリームキャスト
ドリパ,ドリームパーティー
ドルパ,ドールズパーティー
トレカ,トレーディングカード
トレセン,トレーニングセンター
トレペ,トレーシングペーパー
トレパン,トレーニングパンツ
ドンキ,ドンキホーテ
ナイナイ,ナインティナイン
ナカミー,中野美奈子
ナゲット,チキンナゲット
ナニ金,ナニワ金融道
ナベシン,ワタナベシンイチ
ナベツネ,渡邉恒雄
ナルシ,ナルシスト
ナンクロ,ナンバークロスワードパズル
ナンプレ,ナンバープレース
ニコどう,ニコニコ動画
ニコなま,ニコニコ生放送
にってれ,日本テレビ
にっぺん,日本ペン習字研究会
ニンドリ,ニンテンドードリーム
ネオコン,ネオコンサバティブ
ネカフェ,インターネットカフェ
ネギま,魔法先生ネギま
ネッツ,ネッツトヨタ
ネット,インターネット
ネトゲ,インターネットゲーム
ネトラジ,インターネットラジオ
バイオ,バイオハザード
ハイカ,ハイウェイカード
パイカリ,パイレーツオブカリビアン
バイト,アルバイト
ハイデフ,ハイディフィニション
ハガレン,鋼の錬金術師
パソゲー,パソコンゲーム
ハチクロ,ハチミツとクローバー
バッシュ,バスケットシューズ
パソコン,パーソナルコンピュータ
パナ,パナソニック
はねトび,はねるのトびら
パネポン,パネルでポン
ハマコー,浜田幸一
ハヤテ,ハヤテのごとく
パリーグ,パシフィックリーグ
ハリポタ,ハリーポッター
ハルヒ,涼宮ハルヒの憂鬱
ハレハレ,ハレ晴レユカイ
ハロプロ,ハロープロジェクト
ハロモニ,ハローモーニング
パワステ,パワーステアリング
パワハラ,パワーハラスメント
ハンスト,ハンガーストライキ
パンスト,パンティーストッキング
ハンド,ハンドボール
バンプ,バンプオブチキン
バンブラ,大合奏バンドブラザーズ
バンプレ,バンプレスト
バンブレ,バンブーブレード
ピクロス,ピクチャークロスワード
ピッチ,ピーエイチエス
ビフテキ,ビーフステーキ
ひらパー,ひらかたパーク
エフエフ,ファイナルファンタジー
ファザコン,ファザーコンプレックス
ファフナー,蒼穹のファフナー
ファミコン,ファミリーコンピュータ
ファミマ,ファミリーマート
ファミレス,ファミリーレストラン
ファッキン,ファーストキッチン
フォトショ,アドビフォトショップ
ブクマ,ブックマーク
冬ソナ,冬のソナタ
ブラーン,ブラックラグーン
ブラクラ,ブラウザクラッシャー
ブラコン,ブラザーコンプレックス
ブラスタ,ブラックスター
ブラビ,ブラックビスケッツ
プラモ,プラスチックモデル
ブララグ,ブラックラグーン
ブリアク,ブリザードアクセル
プリクラ,プリントクラブ
ブリグリ,ザブリリアントグリーン
プリゴ,プリントゴッコ
ブルセラ,ブルマセーラー
ブリセル,ブリザードアクセル
フリマ,フリーマーケット
フルバ,フルーツバスケット
フリペ,フリーペーパー
フルボッコ,フルパワーでボッコボコ
フルメタ,フルメタルパニック
プレステ,プレイステーション
プレステツー,プレイステーションツー
プレステスリー,プレイステーションスリー
ヘビメタ,ヘビーメタル
ベルバラ,ベルサイユのバラ
ペロキャン,ペロペロキャンディ
ポカリ,ポカリスエット
ポケステ,ポケットステーション
ポケバイ,ポケットバイク
ポケビ,ポケットビスケッツ
ポケベル,ポケットベル
ポケモン,ポケットモンスター
ポスペ,ポストペット
ボディコン,ボディコンシャス
ホテイチ,ホテル一階
ポテチ,ポテトチップス
ポテト,フライドポテト
ホット,ホットコーヒー
ホマキ,堀北真希
ホムペ,ホームページ
マイク,マイクロフォン
マイコン,マイクロコンピュータ
マクド,マクドナルド
マザコン,マザーコンプレックス
マッキー,牧原
マック,マッキントッシュ
マツキヨ,マツモトキヨシ
マツケン,松山ケンイチ
マツジュン,松本潤
マッチ,近藤真彦
ママチャリ,ママ用チャリンコ
マリカ,マリオカート
マリコン,マリンコンストラクター
マリみて,マリア様がみてる
マンキン,シャーマンキング
マンシー,マンチェスターシティ
マンユー,マンチェスターユナイテッド
ミーハー,みいちゃんはあちゃん
ミスコン,ミスコンテスト
ミスド,ミスタードーナツ
ミスチル,ミスターチルドレン
ミスフル,ミスターフルスイング
ミニクラ,ミニクラッド
ミニコン,ミニコンピュータ
ミュージックソン,ラジオチャリティーミュージックソン
メアド,メールアドレス
メーテレ,名古屋テレビ
メガドラ,メガドライブ
メタスラ,メタルスライム
メタギア,メタルギア
めちゃイケ,めちゃめちゃイケてるッ
メモカ,メモリーカード
メモステ,メモリースティック
メルブラ,メルティーブラック
メルマガ,メールマガジン
メンコン,メンデルスゾーンヴァイオリンコンチェルト
モームス,モーニング娘
モス,モスバーガー
モンコレ,モンスターコレクション
モンハン,モンスターハンター
ヤフオク,ヤフーオークション
ヤマト,宇宙戦艦ヤマト
ヤミ金,闇金融
ヤンデレ,病んでるデレデレ
ユニバ,ユニバーサルスタジオジャパン
ラジコン,ラジオコントロール
ラジカセ,ラジオカセットレコーダー
ラノベ,ライトノベル
ラルク,ラルクアンシエル
リスカ,リストカット
リーマン,サラリーマン
リヴリー,リヴリーアイランド
リモコン,リモートコントローラー
レアル,レアルマドリード
レスカ,レモンスカッシュ
レミオ,レミオロメン
ロイホ,ロイヤルホスト
ロクヨン,ニンテンドーロクヨン
ロザバン,ロザリオとバンパイア
ロットレ,ロッカトレンチ
ロベカル,ロベルトカルロス
ロボコン,ロボットコンテスト
ロマサガ,ロマンシングサガ
ロリコン,ロリータコンプレックス
ロンハー,ロンドンハーツ
ロンバケ,ロングバケーション
ロンブー,ロンドンブーツいちごうにごう
ワープロ,ワードプロセッサ
ワラキン,笑いの金メダル
ワンナイ,ワンナイト
ワーネバ,ワールドネバーランド
ワンピ,ワンピース
ワンフェス,ワンダーフェスティバル
マルキュー,イチマルキュー
ミスド,ミスタードーナツ
メアド,メールアドレス
リーマン,サラリーマン
パンスト,パンティーストッキング
ハンズ,東急ハンズ
ガムシロ,ガムシロップ
さんちゃ,三軒茶屋
ヤフオク,ヤフーオークション
カシオレ,カシスオレンジ
アニソン,アニメソング
オタ,オタク
エクステ,エクステンション
午後ティー,午後の紅茶
ポテサラ,ポテトサラダ
パイカリ,パイレーツオブカレビアン
グラドル,グラビアアイドル
おもさん,表参道
デジカメ,デジタルカメラ
ホムペ,ホームページ
ドンキ,ドンキホーテ
鉄オタ,鉄道オタク
ソニプラ,ソニープラザ
サントラ,サウンドトラック
せたどう,世田谷通り
ツナマヨ,ツナアンドマヨネーズ
自己満,自己満足
ギョタン,魚群探知機
フリマ,フリーマーケット
西荻,西荻窪
スギリョウ,すぎりょうたろう
シッタカ,知ったかぶり
しもきた,下北沢
ノースリ,ノースリーブ
チャゲアス,チャゲアンドアスカ
スキマ,スキマスイッチ
マツキヨ,マツモトキヨシ
チュート,チュートリアル
キャミ,キャミソール
ブラ,ブラジャー
ドンペリ,ドンペリニヨン
完コピ,完全コピー
デスノ,デスノート
バナジュー,バナナジュース
よしぎゅう,吉野家の牛丼
だる,ダルビッシュ
きょど,挙動不審
けんこば,けんどうこばやし
なるはや,なるべくはやく
こいばな,恋の話
てんぱ,天然パーマ
ストパ,ストレートパーマ
ウーハイ,ウーロンハイ
タキツバ,タッキーアンドつばさ
ゲーセン,ゲームセンター
ゆうじゅう,優柔不断
ネット,インターネット
あみたい,あみたいつ
プレステ,プレイステーション
ちゃっきょ,着信拒否
パワハラ,パワーハラスメント
アカハラ,アカデミックハラスメント
モラハラ,モラルハラスメント
ヴィンテ,ヴィンテージ
ビンテ,ビンテージ
レアル,レアルマドリード
ドタキャン,土壇場キャンセル
逆ナン,逆ナンパ
卒アル,卒業アルバム
いみふ,意味不明
ハナピ,鼻ピアス
カモふら,カモふらーじゅ
かんど,漢字ドリル
おぐしゅん,小栗旬
就活,就職活動
ローテ,ローテーション
お気に,お気に入り
モバゲー,モバイルゲーム
バラドル,バラエティアイドル
ぎり,ギリギリ
女子アナ,女子アナウンサー
滝くり,滝川クリステル
ことよろ,今年もよろしく
連ドラ,連続ドラマ
携帯,携帯電話
おそろ,おそろい
シャーペン,シャープペンシル
日サロ,日焼けサロン
インフル,インフルエンザ
メンテ,メンテナンス
イルミ,イルミネーション
アメフト,アメリカンフットボール
タムケン,たむらけんじ
卒論,卒業論文
パリス,パリスひるとん
機種変,機種変更
カテキョ,家庭教師
省エネ,省エネルギー
自己中,自己中心的
おなちゅう,同じ中学
ちかちゅう,地下駐車場
プラモ,プラモデル
ビフテキ,ビーフステーキ
筋トレ,筋肉トレーニング
学割,学生わりびき
アンミラ,アンナミラーズ
ファミマ,ファミリーマート
ナチュロー,ナチュラルローソン
ゼミ,ゼミナール
ミスコン,ミスコンテスト
デキ婚,できちゃった結婚
シネコン,シネマコンプレックス
エアコン,エアーコンディショナー
キンコン,キングコング
マザコン,マザーコンプレックス
ツアコン,ツアーコンダクター
ベルコン,ベルトコンベア
いとこん,糸こんにゃく
ビニガサ,ビニール傘
ぱんふ,パンフレット
自販機,自動販売機
カーステ,カーステレオ
カーナビ,カーナビゲーション
ユカダン,床暖房
バイト,アルバイト
ちゅうきん,駐車禁止
ヒャッキン,百円均一
どきん,土足厳禁
スタメン,スターティングメンバー
かじてつ,家事手伝い
仮免,仮免許
ザイル,エグザイル
留守電,留守番電話
自主トレ,自主トレーニング
バスケ,バスケットボール
イケメン,いけてるメンツ
大卒,大学卒業
フェス,フェスティバル
ワンレン,ワンレングス
中一,中学校一年生
エコ,エコロジー
エアロビ,エアロビクス
メタボ,メタボりっく
首都高,首都高速
イタ電,いたずら電話
おきっぱ,置きっぱなし
やりっぱ,やりっぱなし
たちっぱ,立ちっぱなし
開けっぱ,開けっぱなし
つけっぱ,付けっぱなし
出しっぱ,出しっぱなし
ラブコメ,ラブコメディ
サプリ,サプリメント
イントロ,イントロダクション
インテリ,インテリジェンス
ブリテリ,ブリの照り焼き
ミニスカ,ミニスカート
デパ地下,デパート地下
ミスチル,ミスターチルドレン
コネ,コネクション
ビル,ビルディング
ひゃくぱー,ひゃくぱーせんと
あじたま,あじつけたまご
ぎゃくたま,ぎゃくたまのこし
セクハラ,セクシャルハラスメント
海パン,海水パンツ
オオクワ,オオクワガタ
はなだん,はなよりだんご
着メロ,着信メロディー
うざい,うざったい
めんどい,めんどうくさい
むずい,難しい
きもい,気持ち悪い
たるい,かったるい
気色悪い,きしょい
セレブ,セレブリティー
ブラバン,ブラスバンド
図工,図画工作
レミオ,レミオロメン
ケツメ,ケツメイシ
とりせつ,取扱説明書
キンメ,金目鯛
なる,ナルシスト
パリコレ,パリコレクション
イメチェン,イメージチェンジ
アクセ,アクセサリー
ハイテク,ハイテクノロジー
デコメ,デコレーションメール
あるみ,アルミニウム
短大,短期大学
東大,東京大学
パケ代,パケット代
有給,有給休暇
自民党,自由民主党
メリクリ,メリークリスマス
元ヤン,元ヤンきー
スノボ,スノーボード
しんじゃが,新ジャガイモ
免停,免許停止
関空,関西空港
ぽら,ポラロイド
インパ,インパるす
ボイパ,ボイスパーカッション
インフォメ,インフォメーション
ロイホ,ロイヤルホスト
たべほ,食べ放題
のみほ,飲み放題
デミグラ,デミグラス
ベスポジ,ベストポジション
マンネリ,マンネリズム
グラコロ,グラタンコロッケ
サブプラ,サブプライム
ワンセグ,ワンセグメント
アメブロ,アメーバブログ
アラフォー,アラウンドフォーティー
アラサー,アラウンドサーティー
ルイとも,類は友を呼ぶ
ダメもと,ダメでもともと
ファミレス,ファミリーレストラン
ドルバガ,ドルチェアンドガッバーナ
ビーサン,ビーチサンダル
ウィキ,ウィキペディア
かんてつ,完全てつや
サンボ,サンボマスター
ボニピン,ボニーピンク
けみ,ケミストリー
ラルク,ラルクアンドシエル
るろ剣,るろうに剣心
スラダン,スラムダンク
キャプツバ,きゃぷてんつばさ
ロクぶる,ろくでなしブルース
ハガレン,鋼の錬金術師